0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:18 +0900] "GET /join/join/view/board/list.jsp?pageNum=1 HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:18 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:18 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:16 +0900] "GET /join/join/main.jsp HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:24 +0900] "GET /join/join/view/board/writeForm.jsp HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:24 +0900] "GET /join/join/view/board/script.js?timestamp=1735027404107 HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:34 +0900] "GET /join/join/view/board/writeForm.jsp HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:34 +0900] "GET /join/join/view/board/script.js?timestamp=1735027414608 HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:35 +0900] "GET /join/join/view/board/list.jsp HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:35 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:03:35 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:06:54 +0900] "GET /join/join/view/board/writeForm.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:06:54 +0900] "GET /join/join/view/board/script.js?timestamp=1735027614309 HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:07:05 +0900] "GET /join/join/view/board/list.jsp HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:07:05 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:07:05 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:09:29 +0900] "GET /join/join/view/board/list.jsp HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:09:29 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:09:29 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:09:30 +0900] "GET /join/join/view/board/list.jsp HTTP/1.1" 200 7224
